episode_length,episode_return,episodes,steps,steps_per_second
999,-51.06755485871844,1,999,947.5892165813369
999,-50.66066466023927,2,1998,144.79466929054922
999,-62.100284975711986,3,2997,659.3231990090585
999,-69.50390960215796,4,3996,642.2612300804599
999,-69.42430987811885,5,4995,680.7334403741044
999,-69.4102059647455,6,5994,574.2598917103027
999,-71.28211553036238,7,6993,670.9262744983756
